University Name,URL
The West Bengal University of Health Sciences,http://www.wbuhs.ac.in
Univesity of Gour Banga,http://www.ugb.ac.in
Uttar Banga Krishi Vishwavidyalaya,http://www.ubkv.org
Vidya Sagar University,http://www.vidyasagar.ac.in/
West Bengal State University,http://www.wbsubregistration.org
West Bengal University of Animal and Fishery Sciences,http://wbuafscl.ac.in
West Bengal University of Technology,http://www.wbut.net
Acharaya N.G.Ranga Agricultural University,http://www.angrau.net
Dr. B.R.Ambedkar Open University,http://www.braou.ac.in
Jawaharlal Nehru Architecture and Fine Arts University,http://jnafau.ac.in
Jawaharlal Nehru Technological University,http://www.jntuh.ac.in
Kakatiya University,http://www.kakatiya.ac.in
Mahatma Gandhi University,http://www.mguniversity.ac.in
National Academy of Legal Studies & Research University,http://nalsar.ac.in
Nizam's Institute of Medical Sciences,http://www.nims.edu.in/
Osmania University,http://www.osmania.ac.in
Palamuru University,http://www.palamuruuniversity.ac.in
Potti Sreeramulu Teugu Universtity,http://teluguuniversity.ac.in/
Professor Jayashankar Telangana State Agricultural University,http://www.pjtsau.ac.in/
Rajiv Gandhi University of Knowledge Technology,http://www.rgukt.in/
Satavahana University,http://www.satavahana.ac.in
Sri Konda Laxman Telangana State Horticultural University,http://www.skltshu.ac.in/
Telangana University,http://www.telanganauniversity.ac.in
Maulana Azad National Urdu University,http://www.manuu.ac.in
University of Hyderabad,http://www.uohyd.ac.in
Ambedkar University Delhi (AUD),http://www.aud.ac.in
Delhi Pharmaceutical Sciences & Research University,http://dpsru.edu.in/
Delhi Technological University,http://www.dce.edu
Guru Gobind Singh Indraprastha Vishwavidyalaya,http://www.ipu.ac.in
Indraprastha Institute of Information Technology,http://www.iiitd.ac.in
National Law University,http://nludelhi.ac.in
Jawaharlal Nehru University,http://www.jnu.ac.in
South Asian Universit y,http://www.southasianuniversity.org
University of Delhi,http://www.du.ac.in
Punjab University,http://www.puchd.ac.in
Goa University,http://www.unigoa.ac.in
